course_anonid,lecturer_anonid,lecture_id,discipline,year,month,day,slot,coder,time,code,duration,lecture_date,session_number,lecturer_and_session,title,simple_title,code_grp,duration_int
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2676,LT,53,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2729,LQ,8,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2737,LT,8,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2745,LQ,7,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2752,LT,90,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2842,LQ,5,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2847,LT,38,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2885,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2886,LT,18,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2904,LQ,4,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2908,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2909,LR,8,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2917,LQ,3,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2920,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2921,LQ,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2922,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2923,LR,5,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2928,LT,36,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2964,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2966,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
